%SeriesCode,SeriesLabel,MetricName,CalculationType,DefaultScale,TableId:LineNo,SeriesCodeParents
B4912BC,"Communication","Current Dollars","Level",-6,T61100B:12,NONE
B4912C,"Communications","Current Dollars","Level",-6,T61100C:12,NONE
B4913C,"Electric, gas, and sanitary services","Current Dollars","Level",-6,T61100C:13,NONE
B4914C,"Wholesale trade","Current Dollars","Level",-6,T61100C:14,NONE
B4915C,"Retail trade","Current Dollars","Level",-6,T61100C:15,NONE
B4916C,"Finance, insurance, and real estate","Current Dollars","Level",-6,T61100C:16,NONE
B4917C,"Services","Current Dollars","Level",-6,T61100C:17,NONE
B4918C,"Government","Current Dollars","Level",-6,T61100A:18|T61100B:18|T61100C:18|T61100D:20,NONE
B4921C,"Private pension plans","Current Dollars","Level",-6,T61100A:22|T61100B:22|T61100C:22|T61100D:24|T70800:11,A2209C|B4934C
B4922C,"Employer contributions for health and life insurance (207)","Current Dollars","Level",-6,T61100A:29|T61100B:29|T61100C:29|T61100D:31|T71200:207|T71200:258,A2099C|A2106C|B4936C
B4923C,"Group health insurance","Current Dollars","Level",-6,T61100A:30|T61100B:30|T61100C:30|T61100D:32|T70800:17,A2210C|B4922C
B4924C,"Group life insurance","Current Dollars","Level",-6,T61100A:31|T61100B:31|T61100C:31|T61100D:33|T70800:20,A2211C|B4922C
B4925C,"Workers' compensation","Current Dollars","Level",-6,T61100A:32|T61100B:32|T61100C:32|T61100D:34|T70800:24,A2212C|B4936C
B4926C,"Supplemental unemployment","Current Dollars","Level",-6,T61100A:33|T61100B:33|T61100C:33|T61100D:35|T70800:30,A2213C|B4936C
B4928C,"Benefits paid by pension and insurance funds","Current Dollars","Level",-6,T61100B:35|T61100C:35|T61100D:37,NONE
B4930C,"Group health insurance","Current Dollars","Level",-6,T61100B:39|T61100C:39|T61100D:41,NONE
B4931C,"Group life insurance","Current Dollars","Level",-6,T61100B:40|T61100C:40|T61100D:42,NONE
B4932C,"Workers' compensation","Current Dollars","Level",-6,T61100B:41|T61100C:41|T61100D:43,NONE
B4933C,"Supplemental unemployment","Current Dollars","Level",-6,T61100B:42|T61100C:42|T61100D:44,NONE
B4934C,"Pension plans","Current Dollars","Level",-6,T61100A:21|T61100B:21|T61100C:21|T61100D:23,NONE
B4935C,"Government employee pension plans","Current Dollars","Level",-6,T61100A:25|T61100B:25|T61100C:25|T61100D:27,B4934C
B4936C,"Private insurance funds","Current Dollars","Level",-6,T61100A:28|T61100B:28|T61100C:28|T61100D:30,NONE
B4937C,"Pension plans","Current Dollars","Level",-6,T61100B:36,NONE
B4939C,"Private insurance funds","Current Dollars","Level",-6,T61100B:37|T61100C:37|T61100D:39,NONE
B4940C,"Group insurance","Current Dollars","Level",-6,T61100B:38|T61100C:38|T61100D:40,NONE
B4945C,"Federal civilian pension plans","Current Dollars","Level",-6,T70800:6,A2209C
B499RA,"Nonfarm housing","Fisher Quantity Index","Level",0,T70403:8,NONE
B499RC,"Nonfarm housing","Current Dollars","Level",-6,T70405:8,A2009C
B499RG,"Nonfarm housing","Fisher Price Index","Level",0,T70404:8,NONE
B499RX,"Nonfarm housing","Chained Dollars","Level",-6,T70406:8,NONE
B546RA,"Consumption of general government fixed capital","Fisher Quantity Index","Level",0,T31003:38,NONE
B546RC,"Consumption of general government fixed capital","Current Dollars","Level",-6,T31005:38,W129RC
B546RG,"Consumption of general government fixed capital","Fisher Price Index","Level",0,T31004:38,NONE
B546RL,"Consumption of general government fixed capital","Fisher Quantity Index","Percent change, annual rate",0,T31001:38,NONE
B546RX,"Consumption of general government fixed capital","Chained Dollars","Level",-6,T31006:38,NONE
B549RC,"Less: Dealers' margin on used equipment","Current Dollars","Level",-6,T50505:36,NONE
B550RC,"Less: Net purchases of used equipment from government","Current Dollars","Level",-6,T50505:37,NONE
B554RC,"Plus: Net sales of used equipment","Current Dollars","Level",-6,T50505:38,NONE
B555RC,"Plus: Net exports of used equipment","Current Dollars","Level",-6,T50505:39,NONE
B556RC,"Plus: Sale of equipment scrap","Current Dollars","Level",-6,T50505:40,NONE
B568RA,"Compensation of general government employees","Fisher Quantity Index","Level",0,T10903:9|T31003:15,NONE
B568RC,"Compensation of general government employees","Current Dollars","Level",-6,T10905:9|T31005:15|T60200A:77|T60200B:78|T60200C:78|T60200D:88|U32500:8,A194RC|B4077C|W111RC
B568RG,"Compensation of general government employees","Fisher Price Index","Level",0,T10904:9|T31004:15,NONE
B568RL,"Compensation of general government employees","Fisher Quantity Index","Percent change, annual rate",0,T31001:15,NONE
B568RX,"Compensation of general government employees","Chained Dollars","Level",-6,T10906:9|T31006:15,NONE
B570RA,"Service industry machinery","Fisher Quantity Index","Level",0,T50503:30,NONE
B570RG,"Service industry machinery","Fisher Price Index","Level",0,T50504:30|U50504:40,NONE
B571RA,"Electric","Fisher Quantity Index","Level",0,T50403:17,NONE
B571RG,"Electric","Fisher Price Index","Level",0,T50404:17|U50404:17,NONE
B580RC,"Financial","Current Dollars","Level",-6,T70500:5,A438RC
B638RA,"Foods, feeds, and beverages","Fisher Quantity Index","Level",0,T40203:3|U40203:3,NONE
B638RC,"Foods, feeds, and beverages","Current Dollars","Level",-6,T40205:3|U40205:3,A253RC
B638RG,"Foods, feeds, and beverages","Fisher Price Index","Level",0,T40204:3|U40204:3,NONE
B638RL,"Foods, feeds, and beverages","Fisher Quantity Index","Percent change, annual rate",0,T40201:3,NONE
B638RX,"Foods, feeds, and beverages","Chained Dollars","Level",-6,T40206:3|U40206:3,NONE
B638RZ,"Foods, feeds, and beverages","Quantity Contributions","Level",0,T40202:3,NONE
B639RA,"Industrial supplies and materials","Fisher Quantity Index","Level",0,T40203:4|U40203:4,NONE
B639RG,"Industrial supplies and materials","Fisher Price Index","Level",0,T40204:4|U40204:4,NONE
B640RA,"Capital goods, except automotive","Fisher Quantity Index","Level",0,T40203:9|U40203:9,NONE
B640RG,"Capital goods, except automotive","Fisher Price Index","Level",0,T40204:9|U40204:9,NONE
B641RA,"Automotive vehicles, engines, and parts","Fisher Quantity Index","Level",0,T40203:13|U40203:13,NONE
B641RC,"Automotive vehicles, engines, and parts","Current Dollars","Level",-6,T40205:13|U40205:13,A253RC
B641RG,"Automotive vehicles, engines, and parts","Fisher Price Index","Level",0,T40204:13|U40204:13,NONE
B641RL,"Automotive vehicles, engines, and parts","Fisher Quantity Index","Percent change, annual rate",0,T40201:13,NONE
B641RX,"Automotive vehicles, engines, and parts","Chained Dollars","Level",-6,T40206:13|U40206:13,NONE
B641RZ,"Automotive vehicles, engines, and parts","Quantity Contributions","Level",0,T40202:13,NONE
B642RA,"Consumer goods, except food and automotive","Fisher Quantity Index","Level",0,T40203:14|U40203:14,NONE
B642RG,"Consumer goods, except food and automotive","Fisher Price Index","Level",0,T40204:14|U40204:14,NONE
B643RA,"Other","Fisher Quantity Index","Level",0,T40203:17|U40203:17,NONE
B643RG,"Other","Fisher Price Index","Level",0,T40204:17|U40204:17,NONE
B645RA,"Plus: Income receipts from the rest of the world","Fisher Quantity Index","Level",0,T10703:2,NONE
B645RC,"Income receipts from the rest of the world","Current Dollars","Level",-6,T10705:2|T40100:7|T4030B:16|T71200:122|U4030B:16,NONE
B645RG,"Plus: Income receipts from the rest of the world","Fisher Price Index","Level",0,T10704:2,NONE
B645RL,"Plus: Income receipts from the rest of the world","Fisher Quantity Index","Percent change, annual rate",0,T10701:2,NONE
B646RA,"Services","Fisher Quantity Index","Level",0,IntlStyl4:16|T10103:18|T10503:48|T40203:18|U40203:22,NONE
B646RG,"Services","Fisher Price Index","Level",0,IntlStyl3:16|T10104:18|T10504:48|T40204:18|U40204:22,NONE
B647RA,"Foods, feeds, and beverages","Fisher Quantity Index","Level",0,T40203:27|U40203:51,NONE
B647RC,"Foods, feeds, and beverages","Current Dollars","Level",-6,T40205:27|U40205:51,A255RC
B647RG,"Foods, feeds, and beverages","Fisher Price Index","Level",0,T40204:27|U40204:51,NONE
B647RL,"Foods, feeds, and beverages","Fisher Quantity Index","Percent change, annual rate",0,T40201:27,NONE
B647RX,"Foods, feeds, and beverages","Chained Dollars","Level",-6,T40206:28|U40206:51,NONE
B647RZ,"Foods, feeds, and beverages","Quantity Contributions","Level",0,T40202:27,NONE
B648RA,"Petroleum and products","Fisher Quantity Index","Level",0,T40203:31|U40203:55,NONE
B648RC,"Petroleum and products","Current Dollars","Level",-6,T40205:31|U40205:55,LA000007
B648RG,"Petroleum and products","Fisher Price Index","Level",0,T40204:31|U40204:55,NONE
B648RL,"Petroleum and products","Fisher Quantity Index","Percent change, annual rate",0,T40201:31,NONE
B648RX,"Petroleum and products","Chained Dollars","Level",-6,T40206:32|U40206:55,NONE
B648RZ,"Petroleum and products","Quantity Contributions","Level",0,T40202:31,NONE
B650RA,"Capital goods, except automotive","Fisher Quantity Index","Level",0,T40203:33|U40203:57,NONE
B650RG,"Capital goods, except automotive","Fisher Price Index","Level",0,T40204:33|U40204:57,NONE
B651RA,"Automotive vehicles, engines, and parts","Fisher Quantity Index","Level",0,T40203:37|U40203:61,NONE
B651RC,"Automotive vehicles, engines, and parts","Current Dollars","Level",-6,T40205:37|U40205:61,A255RC
B651RG,"Automotive vehicles, engines, and parts","Fisher Price Index","Level",0,T40204:37|U40204:61,NONE
B651RL,"Automotive vehicles, engines, and parts","Fisher Quantity Index","Percent change, annual rate",0,T40201:37,NONE
B651RX,"Automotive vehicles, engines, and parts","Chained Dollars","Level",-6,T40206:38|U40206:61,NONE
B651RZ,"Automotive vehicles, engines, and parts","Quantity Contributions","Level",0,T40202:37,NONE
B652RA,"Consumer goods, except food and automotive","Fisher Quantity Index","Level",0,T40203:38|U40203:62,NONE
B652RG,"Consumer goods, except food and automotive","Fisher Price Index","Level",0,T40204:38|U40204:62,NONE
B653RA,"Other","Fisher Quantity Index","Level",0,T40203:41|U40203:65,NONE
B653RG,"Other","Fisher Price Index","Level",0,T40204:41|U40204:65,NONE
B656AX,"Services","Chained Dollars","Level",-6,T10106A:21,NONE
B656BX,"Services","Chained Dollars","Level",-6,T10106B:21,NONE
B656CX,"Services","Chained Dollars","Level",-6,T10106C:21,NONE
B656DX,"Services","Chained Dollars","Level",-6,T10106D:21,NONE
B656RA,"Services","Fisher Quantity Index","Level",0,IntlStyl4:19|T10103:21|T10503:51|T40203:42|U40203:66,NONE
B656RC,"Services","Current Dollars","Level",-6,IntlStyl1:19|T10105:21|T10505:51|T40100:22|T40205:42|T4030B:30|U40205:66|U4030B:30,B021RC
B656RE,"Services","Current Dollar Shares","Level",0,T10110:21,NONE
B656RG,"Services","Fisher Price Index","Level",0,IntlStyl3:19|T10104:21|T10504:51|T40204:42|U40204:66,NONE
B656RJ,"Services","Price Contributions","Level",0,T10108:21,NONE
B656RX,"Services","Chained Dollars","Level",-6,IntlStyl2:19|T10106:21|T10506:51|T40206:43|U40206:66,NONE
B656RZ,"Imports of services","Quantity Contributions","Level",0,T40202:42,NONE
B667RA,"Furniture and fixtures","Fisher Quantity Index","Level",0,T50503:26,NONE
B667RG,"Furniture and fixtures","Fisher Price Index","Level",0,T50504:26|U50504:30,NONE
B668RA,"Engines and turbines","Fisher Quantity Index","Level",0,T50503:12,NONE
B668RG,"Engines and turbines","Fisher Price Index","Level",0,T50504:12|U50504:14,NONE
B670RA,"Electrical equipment, n.e.c.","Fisher Quantity Index","Level",0,T50503:31,NONE
B670RG,"Electrical equipment, n.e.c.","Fisher Price Index","Level",0,T50504:31|U50504:41,NONE
B677RC,"Federal Reserve banks","Current Dollars","Level",-6,T30200:8,B075RC
B679RA,"Private fixed investment in information processing equipment and software","Fisher Quantity Index","Level",0,T50303:31,NONE
B679RG,"Private fixed investment in information processing equipment and software","Fisher Price Index","Level",0,T50304:31,NONE
B682RA,"Other equipment","Fisher Quantity Index","Level",0,T50503:25,NONE
B682RG,"Other equipment","Fisher Price Index","Level",0,T50504:25|U50504:29,NONE
B684RA,"Charges for the use of intellectual property n.e.c.","Fisher Quantity Index","Level",0,T40203:21|U40203:40,NONE
B684RC,"Charges for the use of intellectual property n.e.c.","Current Dollars","Level",-6,T40205:21|U40205:40,A646RC
B684RG,"Charges for the use of intellectual property n.e.c.","Fisher Price Index","Level",0,T40204:21|U40204:40,NONE
B684RL,"Charges for the use of intellectual property n.e.c.","Fisher Quantity Index","Percent change, annual rate",0,T40201:21,NONE
B684RX,"Charges for the use of intellectual property n.e.c.","Chained Dollars","Level",-6,T40206:21|U40206:40,NONE
B684RZ,"Charges for the use of intellectual property n.e.c.","Quantity Contributions","Level",0,T40202:21,NONE
B686RA,"Durable goods","Fisher Quantity Index","Level",0,T40203:5|U40203:5,NONE
B686RC,"Durable goods","Current Dollars","Level",-6,T40205:5|U40205:5,A639RC
B686RG,"Durable goods","Fisher Price Index","Level",0,T40204:5|U40204:5,NONE
B686RL,"Durable goods","Fisher Quantity Index","Percent change, annual rate",0,T40201:5,NONE
B686RX,"Durable goods","Chained Dollars","Level",-6,T40206:5|U40206:5,NONE
B686RZ,"Durable goods","Quantity Contributions","Level",0,T40202:5,NONE
B687RA,"Nondurable goods","Fisher Quantity Index","Level",0,T40203:6|U40203:6,NONE
B687RC,"Nondurable goods","Current Dollars","Level",-6,T40205:6|U40205:6,A639RC
B687RG,"Nondurable goods","Fisher Price Index","Level",0,T40204:6|U40204:6,NONE
B687RL,"Nondurable goods","Fisher Quantity Index","Percent change, annual rate",0,T40201:6,NONE
B687RX,"Nondurable goods","Chained Dollars","Level",-6,T40206:6|U40206:6,NONE
B687RZ,"Nondurable goods","Quantity Contributions","Level",0,T40202:6,NONE
B688RA,"Civilian aircraft, engines, and parts","Fisher Quantity Index","Level",0,T40203:10|U40203:10,NONE
B688RC,"Civilian aircraft, engines, and parts","Current Dollars","Level",-6,T40205:10|U40205:10,A640RC
B688RG,"Civilian aircraft, engines, and parts","Fisher Price Index","Level",0,T40204:10|U40204:10,NONE
B688RL,"Civilian aircraft, engines, and parts","Fisher Quantity Index","Percent change, annual rate",0,T40201:10,NONE
B688RX,"Civilian aircraft, engines, and parts","Chained Dollars","Level",-6,T40206:10|U40206:10,NONE
B688RZ,"Civilian aircraft, engines, and parts","Quantity Contributions","Level",0,T40202:10,NONE
B689RA,"Other","Fisher Quantity Index","Level",0,T40203:12|U40203:12,NONE
B689RC,"Other","Current Dollars","Level",-6,T40205:12|U40205:12,A640RC
B689RG,"Other","Fisher Price Index","Level",0,T40204:12|U40204:12,NONE
B689RL,"Other","Fisher Quantity Index","Percent change, annual rate",0,T40201:12,NONE
B689RX,"Other","Chained Dollars","Level",-6,T40206:12|U40206:12,NONE
B689RZ,"Other","Quantity Contributions","Level",0,T40202:12,NONE
B690RA,"Durable goods","Fisher Quantity Index","Level",0,T40203:15|U40203:15,NONE
B690RC,"Durable goods","Current Dollars","Level",-6,T40205:15|U40205:15,A642RC
B690RG,"Durable goods","Fisher Price Index","Level",0,T40204:15|U40204:15,NONE
B690RL,"Durable goods","Fisher Quantity Index","Percent change, annual rate",0,T40201:15,NONE
B690RX,"Durable goods","Chained Dollars","Level",-6,T40206:15|U40206:15,NONE
B690RZ,"Durable goods","Quantity Contributions","Level",0,T40202:15,NONE
B691RA,"Nondurable goods","Fisher Quantity Index","Level",0,T40203:16|U40203:16,NONE
B691RC,"Nondurable goods","Current Dollars","Level",-6,T40205:16|U40205:16,A642RC
B691RG,"Nondurable goods","Fisher Price Index","Level",0,T40204:16|U40204:16,NONE
B691RL,"Nondurable goods","Fisher Quantity Index","Percent change, annual rate",0,T40201:16,NONE
B691RX,"Nondurable goods","Chained Dollars","Level",-6,T40206:16|U40206:16,NONE
B691RZ,"Nondurable goods","Quantity Contributions","Level",0,T40202:16,NONE
B696RA,"Nondurable goods, excluding petroleum and products","Fisher Quantity Index","Level",0,T40203:32|U40203:56,NONE
B696RC,"Nondurable goods, excluding petroleum and products","Current Dollars","Level",-6,T40205:32|U40205:56,LA000007
B696RG,"Nondurable goods, excluding petroleum and products","Fisher Price Index","Level",0,T40204:32|U40204:56,NONE
B696RL,"Nondurable goods, excluding petroleum and products","Fisher Quantity Index","Percent change, annual rate",0,T40201:32,NONE
B696RX,"Nondurable goods, excluding petroleum and products","Chained Dollars","Level",-6,T40206:33|U40206:56,NONE
B696RZ,"Nondurable goods, excluding petroleum and products","Quantity Contributions","Level",0,T40202:32,NONE
B697RA,"Durable goods","Fisher Quantity Index","Level",0,T40203:39|U40203:63,NONE
B697RC,"Durable goods","Current Dollars","Level",-6,T40205:39|U40205:63,A652RC
B697RG,"Durable goods","Fisher Price Index","Level",0,T40204:39|U40204:63,NONE
B697RL,"Durable goods","Fisher Quantity Index","Percent change, annual rate",0,T40201:39,NONE
B697RX,"Durable goods","Chained Dollars","Level",-6,T40206:40|U40206:63,NONE
B697RZ,"Durable goods","Quantity Contributions","Level",0,T40202:39,NONE
B698RA,"Nondurable goods","Fisher Quantity Index","Level",0,T40203:40|U40203:64,NONE
B698RC,"Nondurable goods","Current Dollars","Level",-6,T40205:40|U40205:64,A652RC
B698RG,"Nondurable goods","Fisher Price Index","Level",0,T40204:40|U40204:64,NONE
B698RL,"Nondurable goods","Fisher Quantity Index","Percent change, annual rate",0,T40201:40,NONE
B698RX,"Nondurable goods","Chained Dollars","Level",-6,T40206:41|U40206:64,NONE
B698RZ,"Nondurable goods","Quantity Contributions","Level",0,T40202:40,NONE
B701RA,"Households","Fisher Quantity Index","Level",0,T10303:6,NONE
B701RC,"Households","Current Dollars","Level",-6,T10305:6,A193RC
B701RG,"Households","Fisher Price Index","Level",0,T10304:6,NONE
B701RL,"Households","Fisher Quantity Index","Percent change, annual rate",0,T10301:6,NONE
B701RX,"Households","Chained Dollars","Level",-6,T10306:6,NONE
B702RA,"Nonprofit institutions serving households","Fisher Quantity Index","Level",0,T10303:7,NONE
B702RC,"Nonprofit institutions serving households","Current Dollars","Level",-6,T10305:7,A193RC
B702RG,"Nonprofit institutions serving households","Fisher Price Index","Level",0,T10304:7,NONE
B702RL,"Nonprofit institutions serving households","Fisher Quantity Index","Percent change, annual rate",0,T10301:7,NONE
B702RX,"Nonprofit institutions serving households","Chained Dollars","Level",-6,T10306:7,NONE
B703RC,"Personal dividend income","Current Dollars","Level",-6,T20100:15|T20600:15|T20900:7|T71000:18,W210RC
B704RA,"Light trucks (including utility vehicles)","Fisher Quantity Index","Level",0,T70203B:8,NONE
B704RC,"Light trucks (including utility vehicles)","Current Dollars","Level",-6,T70205B:8|U70205:10,AB67RC
B704RG,"Light trucks (including utility vehicles)","Fisher Price Index","Level",0,T70204B:8|U70204:10,NONE
B704RL,"Light trucks (including utility vehicles)","Fisher Quantity Index","Percent change, annual rate",0,T70201B:8,NONE
B704RX,"Light trucks (including utility vehicles)","Chained Dollars","Level",-6,T70206B:8|U70206:10,NONE
B705RA,"Trucks","Fisher Quantity Index","Level",0,T70203B:15,NONE
B705RC,"Trucks","Current Dollars","Level",-6,T70205B:15|U70205:26,AB68RC
B705RG,"Trucks","Fisher Price Index","Level",0,T70204B:15|U70204:26,NONE
B705RL,"Trucks","Fisher Quantity Index","Percent change, annual rate",0,T70201B:15,NONE
B705RX,"Trucks","Chained Dollars","Level",-6,T70206B:15|U70206:26,NONE
B706RA,"Trucks","Fisher Quantity Index","Level",0,T70203B:27,NONE
B706RC,"Trucks","Current Dollars","Level",-6,T70205B:27|U70205:51,AB69RC
B706RG,"Trucks","Fisher Price Index","Level",0,T70204B:27|U70204:51,NONE
B706RL,"Trucks","Fisher Quantity Index","Percent change, annual rate",0,T70201B:27,NONE
B706RX,"Trucks","Chained Dollars","Level",-6,T70206B:27|U70206:51,NONE
B707RA,"Trucks","Fisher Quantity Index","Level",0,T70203B:30,NONE
B707RC,"Trucks","Current Dollars","Level",-6,T70205B:30|U70205:54,AB70RC
B707RG,"Trucks","Fisher Price Index","Level",0,T70204B:30|U70204:54,NONE
B707RL,"Trucks","Fisher Quantity Index","Percent change, annual rate",0,T70201B:30,NONE
B707RX,"Trucks","Chained Dollars","Level",-6,T70206B:30|U70206:54,NONE
B708RA,"Trucks","Fisher Quantity Index","Level",0,T70203B:23,NONE
B708RC,"Trucks","Current Dollars","Level",-6,T70205B:23|U70205:43,AB64RC
B708RG,"Trucks","Fisher Price Index","Level",0,T70204B:23|U70204:43,NONE
B708RL,"Trucks","Fisher Quantity Index","Percent change, annual rate",0,T70201B:23,NONE
B708RX,"Trucks","Chained Dollars","Level",-6,T70206B:23|U70206:43,NONE
B709RC,"Trucks","Current Dollars","Level",-6,T70205B:37|U70205:61,AB65RC
B709RX,"Trucks","Chained Dollars","Level",-6,T70206B:37|U70206:61,NONE
B712RA,"Equals: Gross domestic purchases","Fisher Quantity Index","Level",0,T10403:4|T10803:4,NONE
B712RG,"Gross domestic purchases","Fisher Price Index","Level",0,T10404:4|T10604:1,NONE
B712RO,"Gross domestic purchases","Fisher Price Index","Percent change, year ago",0,T10111:35,NONE
B713RA,"Equals: Final sales to domestic purchasers","Fisher Quantity Index","Level",0,T10403:6,NONE
B713RG,"Final sales to domestic purchasers","Fisher Price Index","Level",0,T10404:6|T10604:65,NONE
B734RC,"Mining","Current Dollars","Level",-6,T60100C:5,NONE
B735RC,"Construction","Current Dollars","Level",-6,T60100C:6,NONE
B738RC,"Employee and self-employed contributions","Current Dollars","Level",-6,T30600:31|T31400:18|U30600:31,B104RC|B228RC
B739RC,"Government","Current Dollars","Level",-6,T31400:20,A744RC
B740RC,"Other","Current Dollars","Level",-6,T31400:21,A744RC
B741RC,"Administrative expenses","Current Dollars","Level",-6,T31400:24,NONE
B742RC,"Government social benefit payments to persons","Current Dollars","Level",-6,T31400:25,NONE
B746RC,"Interest received","Current Dollars","Level",-6,T31400:22,NONE
B758RA,"Brokers' commissions and other ownership transfer costs","Fisher Quantity Index","Level",0,T50403:43,NONE
B758RG,"Brokers' commissions and other ownership transfer costs","Fisher Price Index","Level",0,T50404:43|U50404:43,NONE
B765RA,"General government","Fisher Quantity Index","Level",0,T10303:8,NONE
B765RG,"General government","Fisher Price Index","Level",0,T10304:8,NONE
B766RA,"Federal","Fisher Quantity Index","Level",0,T10303:9,NONE
B766RG,"Federal","Fisher Price Index","Level",0,T10304:9,NONE
B767RA,"State and local","Fisher Quantity Index","Level",0,T10303:10,NONE
B767RG,"State and local","Fisher Price Index","Level",0,T10304:10,NONE
B780RA,"Petroleum products","Fisher Quantity Index","Level",0,T31103:18,NONE
B780RC,"Petroleum products","Current Dollars","Level",-6,T31105:18,A725RC
B780RG,"Petroleum products","Fisher Price Index","Level",0,T31104:18,NONE
B780RL,"Petroleum products","Fisher Quantity Index","Percent change, annual rate",0,T31101:18,NONE
B780RN,"Petroleum products","Quantity Contributions","Level",0,T31102:18,NONE
B780RX,"Petroleum products","Chained Dollars","Level",-6,T31106:18,NONE
B781RA,"Ammunition","Fisher Quantity Index","Level",0,T31103:19,NONE
B781RC,"Ammunition","Current Dollars","Level",-6,T31105:19,A725RC
B781RG,"Ammunition","Fisher Price Index","Level",0,T31104:19,NONE
B781RL,"Ammunition","Fisher Quantity Index","Percent change, annual rate",0,T31101:19,NONE
B781RN,"Ammunition","Quantity Contributions","Level",0,T31102:19,NONE
B781RX,"Ammunition","Chained Dollars","Level",-6,T31106:19,NONE
B783RA,"Other nondurable goods","Fisher Quantity Index","Level",0,T31103:20,NONE
B783RC,"Other nondurable goods","Current Dollars","Level",-6,T31105:20,A725RC
B783RG,"Other nondurable goods","Fisher Price Index","Level",0,T31104:20,NONE
B783RL,"Other nondurable goods","Fisher Quantity Index","Percent change, annual rate",0,T31101:20,NONE
B783RN,"Other nondurable goods","Quantity Contributions","Level",0,T31102:20,NONE
B783RX,"Other nondurable goods","Chained Dollars","Level",-6,T31106:20,NONE
B785RA,"Travel of persons","Fisher Quantity Index","Level",0,T31103:26,NONE
B785RC,"Travel of persons","Current Dollars","Level",-6,T31105:26,A489RC
B785RG,"Travel of persons","Fisher Price Index","Level",0,T31104:26,NONE
B785RL,"Travel of persons","Fisher Quantity Index","Percent change, annual rate",0,T31101:26,NONE
B785RN,"Travel of persons","Quantity Contributions","Level",0,T31102:26,NONE
B785RX,"Travel of persons","Chained Dollars","Level",-6,T31106:26,NONE
B786RA,"Transportation of material","Fisher Quantity Index","Level",0,T31103:25,NONE
B786RC,"Transportation of material","Current Dollars","Level",-6,T31105:25,A489RC
B786RG,"Transportation of material","Fisher Price Index","Level",0,T31104:25,NONE
B786RL,"Transportation of material","Fisher Quantity Index","Percent change, annual rate",0,T31101:25,NONE
B786RN,"Transportation of material","Quantity Contributions","Level",0,T31102:25,NONE
B786RX,"Transportation of material","Chained Dollars","Level",-6,T31106:25,NONE
B787RA,"Federal","Fisher Quantity Index","Level",0,T30903:11|T50903A:2|T50903B:2,NONE
B787RG,"Federal","Fisher Price Index","Level",0,T30904:11|T50904A:2|T50904B:2,NONE
B788RA,"National defense","Fisher Quantity Index","Level",0,T10503:56|T30903:19|T31103:29|T50903A:3|T50903B:3,NONE
B788RG,"National defense","Fisher Price Index","Level",0,T10504:56|T10604:47|T30904:19|T31104:29|T50904A:3|T50904B:3,NONE
B798RA,"Nondefense","Fisher Quantity Index","Level",0,T10503:59|T30903:27|T50903A:4|T50903B:4,NONE
B798RG,"Nondefense","Fisher Price Index","Level",0,T10504:59|T10604:50|T30904:27|T50904A:4|T50904B:4,NONE
B799RA,"State and local","Fisher Quantity Index","Level",0,T10503:62|T30903:35|T50903A:5|T50903B:5,NONE
B799RG,"State and local","Fisher Price Index","Level",0,T10504:62|T10604:53|T30904:35|T50904A:5|T50904B:5,NONE
B801RA,"Structures","Fisher Quantity Index","Level",0,T30903:12|T50903A:7|T50903B:7,NONE
B801RG,"Structures","Fisher Price Index","Level",0,T30904:12|T50904A:7|T50904B:7,NONE
B803RC,"Durable goods","Current Dollars","Level",-6,T50805A:13,NONE
B803RX,"Durable goods","Chained Dollars","Level",-6,T50806A:13|U001A2:30,NONE
B804RC,"Nondurable goods","Current Dollars","Level",-6,T50805A:14,NONE
B804RX,"Nondurable goods","Chained Dollars","Level",-6,T50806A:14|U001A2:40,NONE
B806RC,"Durable goods","Current Dollars","Level",-6,T50805A:16,NONE
B806RX,"Durable goods","Chained Dollars","Level",-6,T50806A:16,NONE
B807RC,"Nondurable goods","Current Dollars","Level",-6,T50805A:17,NONE
B807RX,"Nondurable goods","Chained Dollars","Level",-6,T50806A:17,NONE
B808RA,"Structures","Fisher Quantity Index","Level",0,T30903:20|T31103:30|T50903A:8|T50903B:8,NONE
B808RG,"Structures","Fisher Price Index","Level",0,T30904:20|T31104:30|T50904A:8|T50904B:8,NONE
B814RA,"New","Fisher Quantity Index","Level",0,T50903A:9|T50903B:9,NONE
B814RG,"New","Fisher Price Index","Level",0,T50904A:9|T50904B:9,NONE
B815RA,"Buildings","Fisher Quantity Index","Level",0,T50903A:10,NONE
B815RG,"Buildings","Fisher Price Index","Level",0,T50904A:10,NONE
B816RA,"Residential","Fisher Quantity Index","Level",0,T50903A:11|T50903B:10,NONE
B816RC,"Residential","Current Dollars","Level",-6,T50905A:11|T50905B:10,A814RC
B816RG,"Residential","Fisher Price Index","Level",0,T50904A:11|T50904B:10,NONE
B816RX,"Residential","Chained Dollars","Level",-6,T50906B:10,NONE
B817RA,"Industrial","Fisher Quantity Index","Level",0,T50903A:12|T50903B:11,NONE
B817RC,"Industrial","Current Dollars","Level",-6,T50905A:12|T50905B:11,A814RC
B817RG,"Industrial","Fisher Price Index","Level",0,T50904A:12|T50904B:11,NONE
B817RX,"Industrial","Chained Dollars","Level",-6,T50906B:11,NONE
B818RA,"Military facilities","Fisher Quantity Index","Level",0,T50903A:13|T50903B:12,NONE
B818RC,"Military facilities","Current Dollars","Level",-6,T50905A:13|T50905B:12,A814RC
